S4_num_br,S2_num_br,S5_num_br,S3_num_br,S6_num_br,S1_num_br,VacantPriority,Cost,RunoffVolume
0,0,0,0,0,0,0.0,0.0,34.89332700882351
100,99,0,94,100,100,59.59432048681541,2409655.574861164,18.90767574183973
100,97,0,98,100,100,60.08080808080808,2419431.0538666863,18.935825128478566
0,0,0,20,0,0,100.0,97754.79005521961,34.05747129665526
1,1,0,0,0,0,30.0,9775.479005521966,33.233298841588116
99,96,0,73,100,91,58.03921568627451,2243472.431767291,19.743116932680664
99,0,0,98,100,99,69.94949494949495,1935544.843093349,19.845286063422414
1,0,0,0,0,0,40.0,4887.739502760983,33.77935700748707
1,1,0,0,0,2,45.0,19550.95801104393,32.638230976103536
1,1,0,92,0,1,98.10526315789474,464335.2527622934,30.171043946037454
98,1,0,66,0,76,62.655601659751035,1177945.220165397,23.197322102965
1,1,0,44,0,0,96.95652173913044,224836.01712700518,31.071243918906365
1,0,0,62,0,0,99.04761904761905,307927.58867394173,31.515849637003186
1,1,0,0,0,3,48.0,24438.697513804913,32.49221872806769
90,0,0,95,99,92,70.58510638297872,1837790.0530381294,20.67540055698004
1,1,0,50,0,1,96.60377358490567,259050.19364633205,29.982987293604225
1,1,0,50,0,31,83.37349397590361,405682.3787291614,29.209000156340654
65,0,0,67,100,93,70.4,1588515.3383973192,21.926546079250507
98,96,0,89,99,93,59.45263157894737,2321676.2638114667,19.386055911349754
97,1,0,0,0,99,49.9492385786802,962884.6820439136,25.20438769019667
1,1,0,35,0,1,95.26315789473684,185734.10110491732,30.795327662800638
1,1,0,0,0,1,40.0,14663.21850828295,32.49905572927706
1,1,0,54,0,15,89.5774647887324,347029.5046960297,29.689687644774494
94,0,0,69,100,100,67.93388429752066,1774249.4395022364,20.3789509001329
100,97,0,67,99,100,57.365010799136066,2263023.3897783346,19.528694293603866
97,63,0,50,0,99,52.03883495145631,1510311.5063531436,22.205249138536555
2,1,0,95,0,44,86.19718309859155,694059.0093920595,28.266287781035885
26,0,0,62,100,93,74.09252669039147,1373454.800275836,23.522452739486486
100,96,0,98,99,98,60.122199592668025,2399880.095855642,19.221167622411855
2,1,0,24,0,3,89.33333333333333,146632.1850828295,31.416980486215856
99,96,0,73,100,100,58.07692307692308,2287462.0872921394,19.046903779179523
13,0,0,92,100,86,78.62542955326461,1422332.195303446,23.792098487024806
2,1,0,79,0,33,86.78260869565217,562090.0428175131,28.844259403143194
1,1,0,22,0,1,92.8,122193.48756902455,31.6916654825424
97,1,0,22,0,99,54.97716894977169,1070414.9511046554,24.440414812683617
4,0,0,74,100,77,79.13725490196079,1246373.5732040503,23.89281667351603
1,0,0,92,99,71,81.4448669201521,1285475.4892261382,24.220667802717724
97,1,0,67,99,95,67.46518105849582,1754698.4814911927,20.915659445839694
96,0,0,5,0,99,51.4,977547.9005521964,24.659989445049256
94,31,0,51,0,100,56.08695652173913,1349016.1027620311,22.8432711883479
1,1,0,64,0,24,87.77777777777777,439896.55524848844,29.41116772296652
62,1,0,75,100,82,71.625,1564076.6408835142,22.842072980599102
97,1,0,15,0,99,53.490566037735846,1036200.7745853284,24.52937083765707
1,0,0,3,0,0,85.0,19550.95801104393,33.480402410497476
0,0,0,0,0,2,60.0,9775.479005521966,34.460809906935054
94,0,0,72,0,10,65.68181818181819,860242.1524859329,25.858430702355783
29,0,0,92,100,81,76.88741721854305,1476097.3298338167,23.39594666971079
97,62,0,66,0,83,54.22077922077922,1505423.7668503826,22.340754554985832
65,0,0,51,100,98,68.72611464968153,1534750.2038669484,22.97102293916295
1,1,0,37,0,1,95.5,195509.58011043927,30.84817060173111
99,96,0,94,99,98,59.83539094650206,2375441.3983418373,19.325402127898784
1,1,0,4,0,0,76.66666666666667,29326.437016565895,32.894799695841805
1,2,0,31,0,0,93.52941176470588,166183.14309387334,31.84611905419696
58,0,0,92,99,96,73.04347826086956,1686270.128452539,22.626156001936792
1,0,0,89,99,6,88.3076923076923,953109.2030383917,27.54547999242537
5,0,0,82,96,51,81.7948717948718,1143731.04364607,26.08417113548821
1,1,0,68,0,62,80.15151515151516,645181.6143644493,27.003089178346325
90,0,0,92,0,67,67.55020080321285,1217047.1361874847,24.358952778657212
1,1,0,62,0,14,91.02564102564102,381243.68121535645,29.833258293720014
1,0,0,80,100,85,79.47368421052632,1300138.707734421,24.03261785827931
97,0,0,71,0,16,64.8913043478261,899344.0685080208,25.289571657249326
1,1,0,42,0,78,73.27868852459017,596304.2193368399,27.416648904290703
0,0,0,13,0,0,100.0,63540.613535892786,34.186362069108206
38,1,0,73,0,60,72.32558139534883,840691.1944748892,26.325815098952155
1,0,0,66,96,3,87.34939759036145,811364.7574583231,28.58319867490487
97,0,0,79,0,25,66.06965174129353,982435.6400549577,24.934032020713353
89,0,0,66,99,95,68.13753581661891,1705821.0864635832,21.1423653261988
94,1,0,73,0,67,64.25531914893617,1148618.783148831,23.656007435468553
1,1,0,15,0,1,90.0,87979.31104969769,32.001765807369516
34,1,0,62,0,64,70.93167701863354,786926.0599445179,26.42017780423525
93,0,0,92,99,100,69.89583333333333,1876891.969060217,20.545555223046826
3,0,0,35,0,62,73.4,488773.95027609804,28.483718445171824
1,1,0,7,0,3,78.33333333333333,58652.87403313179,32.19957694257855
97,0,0,82,0,14,66.94300518134715,943333.7240328698,25.438662020560677
97,1,0,79,0,95,64.33823529411765,1329465.1447509876,23.155216347076774
78,0,0,66,99,94,69.08011869436201,1647168.212430451,21.436569848419374
1,1,0,66,0,38,84.33962264150944,518100.3872926643,28.653894629456527
62,1,0,74,28,62,69.86784140969164,1109516.8671267426,25.7231852566409
1,1,0,48,0,62,76.60714285714286,547426.8243092299,27.949221374115105
33,1,0,86,0,82,73.56435643564356,987323.3795577185,26.521412627809532
97,0,0,76,0,9,66.04395604395604,889568.5895024991,25.72072596674826
1,1,0,24,0,0,94.61538461538461,127081.22707178556,32.15329208463423
2,1,0,79,0,65,80.95238095238095,718497.7069058645,27.05343224386974
1,0,0,14,0,1,93.75,78203.83204417572,32.7686464068231
1,30,0,60,0,63,67.66233766233766,752711.8834251912,26.69353844202374
1,1,0,65,0,14,91.35802469135803,395906.89972363954,29.822456700825065
1,1,0,63,0,60,79.68,610967.4378451228,27.205488316793907
25,0,0,92,99,82,77.31543624161074,1456546.3718227728,23.618776190356925
1,0,0,89,99,26,85.67441860465117,1050863.9930936112,26.884462483791413
6,0,0,69,99,34,82.21153846153847,1016649.8165742841,26.408230841413527
98,0,0,75,99,81,68.55524079320114,1725372.044474627,21.229238287058717
1,1,0,73,0,50,82.88,610967.4378451228,27.746816832202278
89,0,0,85,99,81,70.16949152542372,1730259.7839773877,21.63548286254662
2,1,0,53,0,34,82.66666666666667,439896.55524848844,28.839164903766438
98,0,0,80,0,14,66.45833333333333,938445.9845301084,25.285941104142385
65,0,0,89,99,81,72.69461077844312,1632504.9939221682,22.508896825707463
1,1,0,51,0,57,78.0,537651.3453037081,27.978497108680106
62,0,0,91,99,87,72.92035398230088,1656943.6914359725,22.493142061113016
21,1,0,77,0,76,74.97142857142858,855354.412983172,26.832642098494347
1,6,0,54,0,48,77.43119266055047,532763.605800947,28.18027331292002
